source,source_type,relation,target,target_type
41485625,Paper,MENTIONS,liquiritin,Ingredient
41485625,Paper,MENTIONS,chlorogenic acid,Ingredient
41485625,Paper,MENTIONS,glycyrrhizic acid,Ingredient
41485625,Paper,MENTIONS,saikosaponin d,Ingredient
41485625,Paper,MENTIONS,tnf,Pathway
41485625,Paper,MENTIONS,zebrafish,Species
41485625,Paper,MENTIONS,mouse,Species
41485625,Paper,MENTIONS,il-1β,Target
41485625,Paper,MENTIONS,jnk,Target
41485625,Paper,MENTIONS,il-6,Target
41485625,Paper,MENTIONS,jun,Target
30841419,Paper,MENTIONS,major depressive disorder,Disease
30841419,Paper,MENTIONS,xiaoyao san,Formula
30841419,Paper,MENTIONS,rats,Species
30841419,Paper,MENTIONS,mice,Species
30841419,Paper,MENTIONS,anhedonia,Symptom
30841419,Paper,MENTIONS,psychomotor retardation,Symptom
40127829,Paper,MENTIONS,depression,Disease
40127829,Paper,MENTIONS,major depressive disorder,Disease
40127829,Paper,MENTIONS,multi-omics,Evidence
40127829,Paper,MENTIONS,transcriptomics,Evidence
40127829,Paper,MENTIONS,proteomics,Evidence
40127829,Paper,MENTIONS,molecular docking,Evidence
40127829,Paper,MENTIONS,literature review,Evidence
40127829,Paper,MENTIONS,open field test,Experiment_indicator
40127829,Paper,MENTIONS,forced swim test,Experiment_indicator
40127829,Paper,MENTIONS,chaihu shugan san,Formula
40127829,Paper,MENTIONS,ferulic acid,Ingredient
40127829,Paper,MENTIONS,mtor,Pathway
40127829,Paper,MENTIONS,rats,Species
40127829,Paper,MENTIONS,mtor,Target
40127829,Paper,MENTIONS,vegfa,Target
30687098,Paper,MENTIONS,depression,Disease
30687098,Paper,MENTIONS,sucrose preference,Experiment_indicator
30687098,Paper,MENTIONS,tail suspension test,Experiment_indicator
30687098,Paper,MENTIONS,forced swim test,Experiment_indicator
30687098,Paper,MENTIONS,mtor,Pathway
30687098,Paper,MENTIONS,mice,Species
30687098,Paper,MENTIONS,mtor,Target
30687098,Paper,MENTIONS,bdnf,Target
39957155,Paper,MENTIONS,depression,Disease
39957155,Paper,MENTIONS,bioinformatics analysis,Evidence
39957155,Paper,MENTIONS,sucrose preference,Experiment_indicator
39957155,Paper,MENTIONS,tail suspension test,Experiment_indicator
39957155,Paper,MENTIONS,danzhi xiaoyao san,Formula
39957155,Paper,MENTIONS,mouse,Species
39957155,Paper,MENTIONS,mice,Species
39957155,Paper,MENTIONS,erk1/2,Target
36536902,Paper,MENTIONS,major depressive disorder,Disease
36536902,Paper,MENTIONS,depression,Disease
36536902,Paper,MENTIONS,sucrose preference,Experiment_indicator
36536902,Paper,MENTIONS,forced swim test,Experiment_indicator
36536902,Paper,MENTIONS,guipi tang,Formula
36536902,Paper,MENTIONS,liquiritin,Ingredient
36536902,Paper,MENTIONS,rats,Species
36536902,Paper,MENTIONS,bdnf,Target
36536902,Paper,MENTIONS,trkb,Target
36536902,Paper,MENTIONS,creb,Target
33825416,Paper,MENTIONS,major depressive disorder,Disease
33825416,Paper,MENTIONS,network pharmacology,Evidence
33825416,Paper,MENTIONS,chaihu shugan san,Formula
40179998,Paper,MENTIONS,depression,Disease
40179998,Paper,MENTIONS,transcriptomics,Evidence
40179998,Paper,MENTIONS,xiaoyao san,Formula
40179998,Paper,MENTIONS,mice,Species
40179998,Paper,MENTIONS,mouse,Species
40179998,Paper,MENTIONS,drd2,Target
36039087,Paper,MENTIONS,major depressive disorder,Disease
36039087,Paper,MENTIONS,network pharmacology,Evidence
