Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0569,Sucrose,CAS:57-50-1,CID:5988,CHEMBL253582,C12H22O11,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,H0715
C0262,Oleanolic_Acid,None,CID:10494,CHEMBL168,C30H48O3,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,H0715
C0853,Acetoside,None,CID:5281800,CHEMBL444478,C29H36O15,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,H0715
C0285,Palmitic Acid,CAS:57-10-3,CID:985,CHEMBL82293,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,H0173
C0420,Succinic Acid,CAS:110-15-6,CID:1110,CHEMBL576,C4H6O4,C(CC(=O)O)C(=O)O,H0173
C1240,Chrysophanol,CAS:481-74-3,CID:10208,CHEMBL41092,C15H10O4,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,H0173
C0881,Aloe-Emodin,None,CID:10207,CHEMBL40275,C15H10O5,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,H0173
C1258,Coumaric Acid,CAS:25429-38-3,CID:637542,CHEMBL66879,C9H8O3,C1=CC(=CC=C1C=CC(=O)O)O,H0173
C0333,Protocatechuic Acid,CAS:99-50-3,CID:72,CHEMBL37537,C7H6O4,C1=CC(=C(C=C1C(=O)O)O)O,H0173
C0094,Gamma-Aminobutyric Acid,CAS:56-12-2,CID:119,CHEMBL96,C4H9NO2,C(CC(=O)O)CN,H0173
C0291,Paraben,None,CID:3702506,CHEMBL441343,C7H6O3,Oc1ccc(cc1)C(=O)O,H0173
C0846,Acetaldehyde,None,CID:177,CHEMBL170365,C2H4O,CC=O,H0173
C1162,Benzaldehyde,None,CID:240,CHEMBL15972,C7H6O,O=Cc1ccccc1,H0173
C1166,Benzoic Acid,None,CID:20144841,CHEMBL541,C7H6O2,OC(=O)c1ccccc1,H0173
C1221,Catechol,CAS:120-80-9,CID:289,CHEMBL280998,C6H6O2,C1=CC=C(C(=C1)O)O,H0173
C0311,Pidolic Acid,CAS:98-79-3,CID:499,CHEMBL284718,C5H7NO3,OC(=O)C1CCC(=N1)O,H0173
C0173,Lactic Acid,CAS:50-21-5,CID:612,CHEMBL1200559,C3H6O3,OC(=O)C(O)C,H0173
C0867,Alcohol,None,CID:702,CHEMBL545,C2H6O,CCO,H0173
C0259,Octanol,CAS:111-87-5,CID:957,CHEMBL26215,C8H18O,CCCCCCCCO,H0173
C0300,Phenol,None,CID:996,CHEMBL14060,C6H6O,Oc1ccccc1,H0173
C1220,Catechin,None,CID:1203,CHEMBL206452,C15H14O6,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,H0173
C1092,Azelaic Acid,CAS:123-99-9,CID:19347555,CHEMBL1238,C9H16O4,OC(=O)CCCCCCCC(=O)O,H0173
C0063,Eucalyptol,CAS:470-82-6,CID:2758,CHEMBL1231862,C10H18O,CC1(C2CCC(O1)(CC2)C)C,H0173
