symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Pus,SMHB00419,None,None,None
Bronchial Asthma,SMHB00419,None,None,None
 Venomous Bite,SMHB00419,None,None,None
Micturition Burning,SMHB00419,None,None,None
 Migratory Pain,SMHB00419,None,None,None
Sweat,SMHB00419,None,None,None
Diarrhea Watery,SMHB00419,0.007789,0.030277,1
Ache,SMHB00419,None,None,None
Acrodynia,SMHB00419,None,None,None
 Generalised Headache,SMHB00419,None,None,None
 name Dilation,SMHB00419,None,None,None
Pain Precordial,SMHB00419,None,None,None
Abdomen Tumor,SMHB00419,None,None,None
Pain Radiating,SMHB00419,None,None,None
Crushing Pain,SMHB00419,None,None,None
Vertex Headache,SMHB00419,None,None,None
"Headache, Retro-Ocular",SMHB00419,None,None,None
Edema Pharynx,SMHB00419,None,None,None
General Abdominal Pain-Symptom,SMHB00419,None,None,None
Thyroid Tumor,SMHB00419,None,None,None
Headache Unilateral,SMHB00419,None,None,None
Headache,SMHB00419,None,None,None
Painful Diarrhea,SMHB00419,0.007789,0.030277,1
Cold Sweat,SMHB00041,0.029424,0.057438,1
Insomnia,SMHB00041,None,None,None
Diabetes Mellitus,SMHB00041,None,None,None
Pulse Weakness,SMHB00041,0.000784,0.004981,1
 Overinclusion,SMHB00041,0.029424,0.057438,1
Cough Productive,SMHB00041,None,None,None
Hyperphagia,SMHB00041,0.029424,0.057438,1
Angina Symptoms,SMHB00041,0.029424,0.057438,1
Night Sweat,SMHB00041,None,None,None
Developmental Delay,SMHB00041,0.029424,0.057438,1
Tongue Edema,SMHB00041,0.029424,0.057438,1
Diarrhea,SMHB00041,None,None,None
Hemorrhage Within 24 Hours Following Delivery Of Placenta,SMHB00041,None,None,None
 Liver Pain,SMHB00041,None,None,None
Palpitation(S),SMHB00041,None,None,None
Nocturia,SMHB00041,0.029424,0.057438,1
Aplasia,SMHB00041,0.029424,0.057438,1
Tongue Disorder,SMHB00041,0.026876,0.054788,1
Numbness Localized,SMHB00041,None,None,None
Urinary Tract Stone,SMHB00041,None,None,None
Respiratory Abnormality,SMHB00041,None,None,None
Attention Disorders,SMHB00041,0.029424,0.057438,1
Dryness Vaginal,SMHB00041,0.029424,0.057438,1
Cough,SMHB00041,None,None,None
 Orthostasis,SMHB00041,None,None,None
Bed-Wetting,SMHB00041,0.029424,0.057438,1
Lightheadedness,SMHB00041,None,None,None
Bronchial Asthma,SMHB00041,None,None,None
Urination Frequency,SMHB00041,None,None,None
Thirst,SMHB00041,None,None,None
Sweating,SMHB00041,None,None,None
Dizziness,SMHB00041,None,None,None
Speech Disorder,SMHB00041,0.029424,0.057438,1
Sweat,SMHB00041,None,None,None
Hemorrhage Postpartum,SMHB00041,None,None,None
Enuresis,SMHB00041,None,None,None
 Neurasthenia,SMHB00041,None,None,None
Bad Dream,SMHB00041,None,None,None
Sleep Disorder,SMHB00041,0.004928,0.022121,1
Hemorrhage After First 24 Hours Following Delivery Of Placenta,SMHB00041,None,None,None
 Nocturia Aggravated,SMHB00041,0.029424,0.057438,1
Asthenia,SMHB00041,None,None,None
"Ejaculation
",SMHB00041,None,None,None
Nightmares,SMHB00041,None,None,None
Forgetfulness,SMHB00041,None,None,None
Abnormal Ejaculation,SMHB00041,None,None,None
Poor Quality Sleep,SMHB00041,0.029424,0.057438,1
Abdomen Distention,SMHB00415,None,None,None
Chest Wall Pain,SMHB00415,0.049799,0.079178,1
Abdominal Tenderness,SMHB00415,0.016876,0.044684,1
 Physical Suffering,SMHB00415,None,None,None
Neurotic Depression,SMHB00415,None,None,None
Abdominal Pain,SMHB00415,None,None,None
Chest Pain,SMHB00415,0.013867,0.040997,1
Hyperalgia,SMHB00415,None,None,None
 Melancholia,SMHB00415,None,None,None
Nocturia,SMHB00415,0.016876,0.044684,1
Liver Tender,SMHB00415,None,None,None
Pain,SMHB00415,None,None,None
 Emotional Depression,SMHB00415,None,None,None
Polyuria,SMHB00415,0.033474,0.061708,1
Burning Pain,SMHB00415,None,None,None
 Splitting Pain,SMHB00415,None,None,None
Hiccups,SMHB00415,None,None,None
Bed-Wetting,SMHB00415,0.016876,0.044684,1
Gasping,SMHB00415,None,None,None
Enterocele,SMHB00415,None,None,None
Bronchial Asthma,SMHB00415,None,None,None
Urination Frequency,SMHB00415,None,None,None
Depressive Neurosis,SMHB00415,None,None,None
 Migratory Pain,SMHB00415,None,None,None
Hernia,SMHB00415,None,None,None
Ache,SMHB00415,None,None,None
Enuresis,SMHB00415,None,None,None
 Nocturia Aggravated,SMHB00415,0.016876,0.044684,1
 name Dilation,SMHB00415,None,None,None
Major Depression,SMHB00415,None,None,None
 Depressive Syndrome,SMHB00415,None,None,None
Tachypnea,SMHB00415,0.049799,0.079178,1
Bloating Feeling,SMHB00415,None,None,None
Pain Radiating,SMHB00415,None,None,None
Crushing Pain,SMHB00415,None,None,None
Endogenous Depression,SMHB00415,None,None,None
Unipolar Depression,SMHB00415,None,None,None
General Abdominal Pain-Symptom,SMHB00415,0.016876,0.044684,1
Depression,SMHB00415,None,None,None
Abdomen Distention,SMHB00418,None,None,None
Sharp Headache,SMHB00418,None,None,None
Abdominal Tenderness,SMHB00418,0.03029,0.058192,1
 Physical Suffering,SMHB00418,None,None,None
Foot Pain,SMHB00418,None,None,None
Vomiting Neonatal,SMHB00418,0.03029,0.058192,1
"Headache, Periorbital",SMHB00418,None,None,None
Bilateral Headache,SMHB00418,None,None,None
Menstrual Cramp,SMHB00418,0.000854,0.005357,1
Ocular Headache,SMHB00418,None,None,None
Abdominal Pain,SMHB00418,None,None,None
Headache Throbbing,SMHB00418,None,None,None
Hyperalgia,SMHB00418,None,None,None
Radiculopathy,SMHB00418,0.03029,0.058192,1
Diarrhea,SMHB00418,None,None,None
Orthostatic Headache,SMHB00418,None,None,None
Emesis,SMHB00418,None,None,None
Nerve Root Disorder,SMHB00418,0.03029,0.058192,1
Pain,SMHB00418,None,None,None
Dexol,SMHB00418,None,None,None
Gastric Acid,SMHB00418,None,None,None
Burning Pain,SMHB00418,None,None,None
 Splitting Pain,SMHB00418,None,None,None
Abdomen Discomfort,SMHB00418,0.01254,0.039351,1
"Neuralgia, Sluder",SMHB00418,0.03029,0.058192,1
Enterocele,SMHB00418,None,None,None
Cervical Radiculopathy,SMHB00418,0.03029,0.058192,1
Diarrhea Acute,SMHB00418,0.03029,0.058192,1
Trigeminal Autonomic Cephalgia,SMHB00418,0.03029,0.058192,1
 Migratory Pain,SMHB00418,None,None,None
Hernia,SMHB00418,None,None,None
Nerve Root Pain,SMHB00418,0.03029,0.058192,1
Neuralgia Facial,SMHB00418,0.03029,0.058192,1
Diarrhea Watery,SMHB00418,0.03029,0.058192,1
Ache,SMHB00418,None,None,None
"Pantothenate, Zinc",SMHB00418,None,None,None
 Generalised Headache,SMHB00418,None,None,None
 name Dilation,SMHB00418,None,None,None
Pantothenic Acid,SMHB00418,None,None,None
"Avulsion, Nerve Root",SMHB00418,0.03029,0.058192,1
Bloating Feeling,SMHB00418,None,None,None
Gagging,SMHB00418,None,None,None
Pain Radiating,SMHB00418,None,None,None
Crushing Pain,SMHB00418,None,None,None
Vertex Headache,SMHB00418,None,None,None
"Headache, Retro-Ocular",SMHB00418,None,None,None
Compression Nerve Root,SMHB00418,0.03029,0.058192,1
Calcium Pantothenate,SMHB00418,None,None,None
Calcium Pantothenate,SMHB00418,None,None,None
General Abdominal Pain-Symptom,SMHB00418,0.03029,0.058192,1
"Headache, Dull",SMHB00418,None,None,None
Atrophy,SMHB00418,None,None,None
Headache Unilateral,SMHB00418,None,None,None
Radiculitis,SMHB00418,0.03029,0.058192,1
Myofacial Pain Syndrome,SMHB00418,0.03029,0.058192,1
Headache,SMHB00418,None,None,None
Beriberi,SMHB00418,None,None,None
Mania,SMHB00422,None,None,None
Neoplastic Growth,SMHB00422,None,None,None
Psychotic Depression,SMHB00422,0.008654,0.032544,1
Suppuration,SMHB00422,0.042565,0.07148,1
Cyst,SMHB00422,0.042565,0.07148,1
Amenorrhea,SMHB00422,0.02575,0.053532,1
Behavior Disorder,SMHB00422,0.017237,0.045046,1
"Amenorrhea, Postpartum",SMHB00422,0.02575,0.053532,1
Communicable Disease,SMHB00422,None,None,None
Palpitation(S),SMHB00422,None,None,None
Annular Erythema,SMHB00422,0.008654,0.032544,1
 Skin Scaly,SMHB00422,0.017237,0.045046,1
Pus,SMHB00422,0.042565,0.07148,1
Mental Disorder,SMHB00422,0.017237,0.045046,1
Macula,SMHB00422,None,None,None
Neoplasm Benign Nos,SMHB00422,0.008654,0.032544,1
Abdomen Tumor,SMHB00422,0.017237,0.045046,1
Diagnosis Psychiatric,SMHB00422,0.008654,0.032544,1
Menopause,SMHB00422,None,None,None
Chest Symptom Heaviness,SMHB00422,None,None,None
Chest Symptom Heaviness,SMHB00422,None,None,None
Depression,SMHB00422,0.02575,0.053532,1
 Other Abdominal Pain,SMHB00422,0.034192,0.062682,1
Right Flank Pain,SMHB00424,None,None,None
 Physical Suffering,SMHB00424,None,None,None
Scabies,SMHB00424,None,None,None
Rheumatism,SMHB00424,None,None,None
Flank Pain,SMHB00424,None,None,None
Oral Dyskinesia,SMHB00424,0.034657,0.062952,1
Extremity Numbness,SMHB00424,None,None,None
Muscle Weakness,SMHB00424,0.04595,0.075628,1
Hyperalgia,SMHB00424,None,None,None
Quadriplegic Spinal Paralysis,SMHB00424,None,None,None
Pain,SMHB00424,None,None,None
 Cerebromedullospinal Disconnection,SMHB00424,None,None,None
Central Facial Paralyses,SMHB00424,0.011683,0.038067,1
Flaccid Tetraplegia,SMHB00424,None,None,None
Facial Droop,SMHB00424,0.011683,0.038067,1
Arthritic Pains,SMHB00424,None,None,None
Infantile Hemiplegia,SMHB00424,None,None,None
Burning Pain,SMHB00424,None,None,None
"Paralyses, Hemifacial",SMHB00424,0.011683,0.038067,1
 Splitting Pain,SMHB00424,None,None,None
Sarcoptic Red Mange,SMHB00424,None,None,None
Quadriparesis,SMHB00424,None,None,None
Facial Paralysis,SMHB00424,0.034657,0.062952,1
Hemiplegia,SMHB00424,None,None,None
Spastic Hemiplegia,SMHB00424,None,None,None
 Migratory Pain,SMHB00424,None,None,None
Spastic Quadriplegia,SMHB00424,None,None,None
Musculoskeletal Pain,SMHB00424,0.023235,0.051423,1
" Hemiplegia, Post Ictal",SMHB00424,None,None,None
Skin Ulcer(S),SMHB00424,None,None,None
Status Marmoratus,SMHB00424,0.034657,0.062952,1
Flaccid Hemiplegia,SMHB00424,None,None,None
Ache,SMHB00424,None,None,None
Transient Hemiplegia,SMHB00424,None,None,None
Sleep Disorder,SMHB00424,None,None,None
Quadriplegia,SMHB00424,None,None,None
Asthenia,SMHB00424,None,None,None
Left Flank Pain,SMHB00424,None,None,None
Movement Disorder,SMHB00424,0.034657,0.062952,1
Pain Radiating,SMHB00424,None,None,None
Crushing Pain,SMHB00424,None,None,None
General Discomfort,SMHB00424,0.023235,0.051423,1
"Facial Paralyses, Peripheral",SMHB00424,0.011683,0.038067,1
Lower Extremity Paresthesia,SMHB00424,0,4.00E-06,0.004418
Hemiparesis,SMHB00424,None,None,None
Difficulty Walking,SMHB00424,0.034657,0.062952,1
Alternate Hemiplegia,SMHB00424,None,None,None
Orofacial Dyskinesia,SMHB00424,0.034657,0.062952,1
 Knee Joint Laxity,SMHB00424,0.011683,0.038067,1
"Nasal Obstruction, Unilateral",SMHB00425,None,None,None
Sharp Headache,SMHB00425,None,None,None
"Nasal Obstruction, Bilateral",SMHB00425,None,None,None
Stroke,SMHB00425,None,None,None
Numbness,SMHB00425,None,None,None
 Physical Suffering,SMHB00425,None,None,None
Vein Disorder,SMHB00425,None,None,None
"Sputums, Induced",SMHB00425,None,None,None
Catarrh,SMHB00425,None,None,None
"Headache, Periorbital",SMHB00425,None,None,None
Bilateral Headache,SMHB00425,None,None,None
Rheumatism,SMHB00425,None,None,None
Ocular Headache,SMHB00425,None,None,None
Toothache,SMHB00425,None,None,None
Epigastric Pain,SMHB00425,None,None,None
Extremity Numbness,SMHB00425,None,None,None
 Airway Obstruction Nasal,SMHB00425,None,None,None
Headache Throbbing,SMHB00425,None,None,None
Chest Pain,SMHB00425,None,None,None
Hyperalgia,SMHB00425,None,None,None
Radiculopathy,SMHB00425,0.027694,0.055251,1
Rhinorrhea,SMHB00425,None,None,None
Lethargy,SMHB00425,None,None,None
Nasal Congestion,SMHB00425,None,None,None
Orthostatic Headache,SMHB00425,None,None,None
Crescendo Angina,SMHB00425,None,None,None
Nerve Root Disorder,SMHB00425,0.027694,0.055251,1
Pain,SMHB00425,None,None,None
Arthritic Pains,SMHB00425,None,None,None
Cough,SMHB00425,None,None,None
Infantile Hemiplegia,SMHB00425,None,None,None
Burning Pain,SMHB00425,None,None,None
 Splitting Pain,SMHB00425,None,None,None
 Cva Nos Acute,SMHB00425,None,None,None
"Neuralgia, Sluder",SMHB00425,0.027694,0.055251,1
Bronchial Asthma,SMHB00425,None,None,None
Cervical Radiculopathy,SMHB00425,0.027694,0.055251,1
Dysphonia,SMHB00425,None,None,None
Angina Pectoris,SMHB00425,None,None,None
Trigeminal Autonomic Cephalgia,SMHB00425,0.027694,0.055251,1
Hemiplegia,SMHB00425,None,None,None
Sputum,SMHB00425,None,None,None
Spastic Hemiplegia,SMHB00425,None,None,None
 Migratory Pain,SMHB00425,None,None,None
Carbuncle,SMHB00425,None,None,None
Nerve Root Pain,SMHB00425,0.027694,0.055251,1
 Cough Increased,SMHB00425,0.027694,0.055251,1
" Hemiplegia, Post Ictal",SMHB00425,None,None,None
Neuralgia Facial,SMHB00425,0.027694,0.055251,1
Flaccid Hemiplegia,SMHB00425,None,None,None
Coryza,SMHB00425,None,None,None
Ache,SMHB00425,None,None,None
Transient Hemiplegia,SMHB00425,None,None,None
Cerebral Vascular Disorder,SMHB00425,None,None,None
 Generalised Headache,SMHB00425,None,None,None
Defecation Pain,SMHB00425,None,None,None
 Urinary Tract Pain,SMHB00425,None,None,None
Nose Pruritus,SMHB00425,0.027694,0.055251,1
"Avulsion, Nerve Root",SMHB00425,0.027694,0.055251,1
Pain Radiating,SMHB00425,None,None,None
Crushing Pain,SMHB00425,None,None,None
Vertex Headache,SMHB00425,None,None,None
"Headache, Retro-Ocular",SMHB00425,None,None,None
Common Cold,SMHB00425,None,None,None
Compression Nerve Root,SMHB00425,0.027694,0.055251,1
"Headache, Dull",SMHB00425,None,None,None
Hemiparesis,SMHB00425,None,None,None
Headache Unilateral,SMHB00425,None,None,None
Radiculitis,SMHB00425,0.027694,0.055251,1
Myofacial Pain Syndrome,SMHB00425,0.027694,0.055251,1
Headache,SMHB00425,None,None,None
Alternate Hemiplegia,SMHB00425,None,None,None
 Gustatory Rhinorrhea,SMHB00425,0.027694,0.055251,1
Sharp Headache,SMHB00426,None,None,None
Goiter,SMHB00426,None,None,None
 Physical Suffering,SMHB00426,None,None,None
Breast Disease,SMHB00426,None,None,None
"Sputums, Induced",SMHB00426,None,None,None
Intermittant Vertigo,SMHB00426,None,None,None
Eye Pain,SMHB00426,None,None,None
"Headache, Periorbital",SMHB00426,None,None,None
Bilateral Headache,SMHB00426,None,None,None
Hyperplasia Thymus,SMHB00426,None,None,None
Vertigo,SMHB00426,None,None,None
Other Conjunctivitis Nos,SMHB00426,0.027261,0.055084,1
Ocular Headache,SMHB00426,None,None,None
Vertigo Postural,SMHB00426,None,None,None
Facial Paresthesia,SMHB00426,0.027261,0.055084,1
Vertigo Central Origin,SMHB00426,None,None,None
Headache Throbbing,SMHB00426,None,None,None
Smarting Of Skin,SMHB00426,0.027261,0.055084,1
Hyperalgia,SMHB00426,None,None,None
Radiculopathy,SMHB00426,0.027261,0.055084,1
Increased Diastolic Blood Pressure,SMHB00426,0.027261,0.055084,1
Brain Stem Vertigo,SMHB00426,None,None,None
Skin Pain,SMHB00426,0.027261,0.055084,1
Orthostatic Headache,SMHB00426,None,None,None
Sarcoidosis,SMHB00426,0.027261,0.055084,1
Induration Of Breast,SMHB00426,0.027261,0.055084,1
Nerve Root Disorder,SMHB00426,0.027261,0.055084,1
Pain,SMHB00426,None,None,None
Breast Mass,SMHB00426,0.000732,0.004741,1
Breast Cyst,SMHB00426,0.027261,0.055084,1
Burning Pain,SMHB00426,None,None,None
 Splitting Pain,SMHB00426,None,None,None
Motion Sickness,SMHB00426,0.000732,0.004741,1
Ligament Injury,SMHB00426,None,None,None
"Neuralgia, Sluder",SMHB00426,0.027261,0.055084,1
Ocular Discomfort,SMHB00426,None,None,None
Cervical Radiculopathy,SMHB00426,0.027261,0.055084,1
 Essential Vertigo,SMHB00426,None,None,None
Trigeminal Autonomic Cephalgia,SMHB00426,0.027261,0.055084,1
Sputum,SMHB00426,None,None,None
Air Sickness,SMHB00426,0.000732,0.004741,1
 Migratory Pain,SMHB00426,None,None,None
Carbuncle,SMHB00426,None,None,None
Nerve Root Pain,SMHB00426,0.027261,0.055084,1
Breast Pain,SMHB00426,0.000625,0.004179,1
Dental Discomfort,SMHB00426,0.027261,0.055084,1
Neuralgia Facial,SMHB00426,0.027261,0.055084,1
Swelling,SMHB00426,None,None,None
Ache,SMHB00426,None,None,None
Vision Halo,SMHB00426,0.027261,0.055084,1
Nodule Subcutaneous,SMHB00426,0.027261,0.055084,1
Nervousness,SMHB00426,0.027261,0.055084,1
Breast Tenderness,SMHB00426,None,None,None
 Generalised Headache,SMHB00426,None,None,None
High Systolic Arterial Pulse Pressure,SMHB00426,0.027261,0.055084,1
 name Dilation,SMHB00426,None,None,None
 Vertigo Paroxysmal,SMHB00426,None,None,None
"Avulsion, Nerve Root",SMHB00426,0.027261,0.055084,1
Sea Sickness,SMHB00426,0.000732,0.004741,1
Eye Blood Shot,SMHB00426,None,None,None
Bloating Feeling,SMHB00426,None,None,None
Pain Radiating,SMHB00426,None,None,None
Crushing Pain,SMHB00426,None,None,None
Hypervigilance,SMHB00426,0.027261,0.055084,1
Vertex Headache,SMHB00426,None,None,None
"Headache, Retro-Ocular",SMHB00426,None,None,None
Compression Nerve Root,SMHB00426,0.027261,0.055084,1
Blood Pressure Elevation,SMHB00426,0.027261,0.055084,1
"Goiter, Euthyroid",SMHB00426,None,None,None
"Goiter, Euthyroid",SMHB00426,None,None,None
Anxiety,SMHB00426,0.027261,0.055084,1
"Headache, Dull",SMHB00426,None,None,None
Thyroid Tumor,SMHB00426,0.000732,0.004741,1
Headache Unilateral,SMHB00426,None,None,None
Ligament Sprain,SMHB00426,None,None,None
Radiculitis,SMHB00426,0.027261,0.055084,1
Constant Vertigo,SMHB00426,None,None,None
Myofacial Pain Syndrome,SMHB00426,0.027261,0.055084,1
Peripheral Vertigo,SMHB00426,None,None,None
Headache,SMHB00426,None,None,None
King Evil,SMHB00426,None,None,None
Abnormal Stools,SMHB00426,None,None,None
Swelling Round Eyes: [periorbital Edema],SMHB00426,0.027261,0.055084,1
Sharp Headache,SMHB00427,None,None,None
Right Flank Pain,SMHB00427,0.006397,0.026635,1
Stroke,SMHB00427,None,None,None
Numbness,SMHB00427,None,None,None
 Physical Suffering,SMHB00427,None,None,None
Vein Disorder,SMHB00427,None,None,None
Joint Range Of Motion Decreased,SMHB00427,None,None,None
Mechanical Low Back Pain,SMHB00427,0,0,0.00042
"Headache, Periorbital",SMHB00427,None,None,None
Bilateral Headache,SMHB00427,None,None,None
Rheumatism,SMHB00427,None,None,None
Flank Pain,SMHB00427,0.006397,0.026635,1
Ocular Headache,SMHB00427,None,None,None
Soft Tissue Injury,SMHB00427,0.000641,0.004252,1
 Recurrent Low Back Pain,SMHB00427,0,0,0.00042
Lower Extremity Pain,SMHB00427,0.006099,0.025549,1
Feces Incontinence,SMHB00427,None,None,None
Extremity Numbness,SMHB00427,None,None,None
Headache Throbbing,SMHB00427,None,None,None
Hematoma,SMHB00427,None,None,None
Hyperalgia,SMHB00427,None,None,None
Radiculopathy,SMHB00427,0.02553,0.053474,1
Polyarthralgia,SMHB00427,None,None,None
Vidian Neuralgia,SMHB00427,None,None,None
Vision Disturbance,SMHB00427,None,None,None
Orthostatic Headache,SMHB00427,None,None,None
Functional Encopresis,SMHB00427,None,None,None
Numbness Localized,SMHB00427,None,None,None
Nerve Root Disorder,SMHB00427,0.02553,0.053474,1
Pain,SMHB00427,None,None,None
Perineal Neuralgia,SMHB00427,None,None,None
Arthralgia,SMHB00427,None,None,None
Iliohypogastric Nerve Neuralgia,SMHB00427,None,None,None
Stump Neuralgia,SMHB00427,None,None,None
Buerger Disease,SMHB00427,None,None,None
Arthritic Pains,SMHB00427,None,None,None
Infantile Hemiplegia,SMHB00427,None,None,None
Burning Pain,SMHB00427,None,None,None
 Splitting Pain,SMHB00427,None,None,None
 Cva Nos Acute,SMHB00427,None,None,None
"Neuralgia, Sluder",SMHB00427,0.02553,0.053474,1
Paroxysmal Nerve Pain,SMHB00427,None,None,None
Cervical Radiculopathy,SMHB00427,0.02553,0.053474,1
Loin Pain,SMHB00427,0.0003,0.002325,1
Trigeminal Autonomic Cephalgia,SMHB00427,0.02553,0.053474,1
Postural Low Back Pain,SMHB00427,0,0,0.00042
Hemiplegia,SMHB00427,None,None,None
Spastic Hemiplegia,SMHB00427,None,None,None
 Migratory Pain,SMHB00427,None,None,None
Nerve Root Pain,SMHB00427,0.02553,0.053474,1
" Hemiplegia, Post Ictal",SMHB00427,None,None,None
Neuralgia Facial,SMHB00427,0.02553,0.053474,1
Swelling,SMHB00427,None,None,None
Flaccid Hemiplegia,SMHB00427,None,None,None
Ache,SMHB00427,None,None,None
Transient Hemiplegia,SMHB00427,None,None,None
Joint Swollen,SMHB00427,None,None,None
Impaired Visual Acuity,SMHB00427,None,None,None
Neuralgia,SMHB00427,None,None,None
Acrodynia,SMHB00427,None,None,None
 Generalised Headache,SMHB00427,None,None,None
Left Flank Pain,SMHB00427,0.006397,0.026635,1
"Avulsion, Nerve Root",SMHB00427,0.02553,0.053474,1
Throat Dry,SMHB00427,None,None,None
Supraorbital Neuralgia,SMHB00427,None,None,None
Pain Radiating,SMHB00427,None,None,None
Crushing Pain,SMHB00427,None,None,None
Posterior Compartment Low Back Pain,SMHB00427,0,0,0.00042
Vertex Headache,SMHB00427,None,None,None
"Headache, Retro-Ocular",SMHB00427,None,None,None
Compression Nerve Root,SMHB00427,0.02553,0.053474,1
Atypical Neuralgia,SMHB00427,None,None,None
Lower Extremity Pain Musculoskeletal,SMHB00427,0.02553,0.053474,1
Vision Dim,SMHB00427,None,None,None
"Headache, Dull",SMHB00427,None,None,None
Ilioinguinal Neuralgia,SMHB00427,None,None,None
Hemiparesis,SMHB00427,None,None,None
Headache Unilateral,SMHB00427,None,None,None
Difficulty Walking,SMHB00427,None,None,None
Radiculitis,SMHB00427,0.02553,0.053474,1
Myofacial Pain Syndrome,SMHB00427,0.02553,0.053474,1
Headache,SMHB00427,None,None,None
Alternate Hemiplegia,SMHB00427,None,None,None
Nerve Pain,SMHB00427,None,None,None
Bilateral Leg Pain,SMHB00427,0.02553,0.053474,1
ache leg pain,SMHB00427,0.02553,0.053474,1
Abdomen Distention,SMHB00428,None,None,None
Hemorrhage,SMHB00428,None,None,None
 Physical Suffering,SMHB00428,None,None,None
Vaginal Discharge White,SMHB00428,None,None,None
Hemoptysis,SMHB00428,None,None,None
Genital Pruritus,SMHB00428,None,None,None
Abdominal Pain,SMHB00428,None,None,None
Hematemesis,SMHB00428,None,None,None
Vagina,SMHB00428,0.035925,0.064462,1
Caustic Injury,SMHB00428,None,None,None
Hyperalgia,SMHB00428,None,None,None
Diarrhea,SMHB00428,None,None,None
Pain,SMHB00428,None,None,None
Burning Pain,SMHB00428,None,None,None
 Splitting Pain,SMHB00428,None,None,None
 Stool Loose,SMHB00428,None,None,None
Lip Paresthesia,SMHB00428,0.012116,0.038774,1
Diarrhea Acute,SMHB00428,None,None,None
 Migratory Pain,SMHB00428,None,None,None
Carbuncle,SMHB00428,None,None,None
Uterine Bleeding,SMHB00428,1.00E-06,1.20E-05,0.014615
Hemorrhage Postpartum,SMHB00428,0.00042,0.003056,1
Skin Ulcer(S),SMHB00428,None,None,None
Ache,SMHB00428,None,None,None
 name Dilation,SMHB00428,None,None,None
Asthenia,SMHB00428,None,None,None
Metrorrhagia,SMHB00428,None,None,None
Pain Radiating,SMHB00428,None,None,None
Crushing Pain,SMHB00428,None,None,None
Menorrhagia,SMHB00428,5.40E-05,0.000571,1
Menometrorrhagia,SMHB00428,5.40E-05,0.000571,1
Decreased Appetite,SMHB00428,None,None,None
Bloody Diarrhea,SMHB00428,0.02409,0.052098,1
Malaria,SMHB00428,0.02409,0.052098,1
Right Flank Pain,SMHB00429,0.000987,0.006025,1
 Physical Suffering,SMHB00429,None,None,None
Mechanical Low Back Pain,SMHB00429,None,None,None
Vertebrogenic Pain Syndrome,SMHB00429,0.040872,0.069693,1
Flank Pain,SMHB00429,0.000987,0.006025,1
 Recurrent Low Back Pain,SMHB00429,None,None,None
Hyperalgia,SMHB00429,None,None,None
Diarrhea,SMHB00429,None,None,None
Yang Deficiency,SMHB00429,None,None,None
Libido Decreased,SMHB00429,0.013802,0.040951,1
Pain,SMHB00429,None,None,None
Back Pain Without Radiation Nos,SMHB00429,0.040872,0.069693,1
Back Pain With Radiation,SMHB00429,0.040872,0.069693,1
Cough,SMHB00429,None,None,None
Burning Pain,SMHB00429,None,None,None
 Splitting Pain,SMHB00429,None,None,None
Loin Pain,SMHB00429,0.000664,0.00437,1
Postural Low Back Pain,SMHB00429,None,None,None
 Migratory Pain,SMHB00429,None,None,None
Ache,SMHB00429,None,None,None
Backache,SMHB00429,0.047529,0.077266,1
Left Flank Pain,SMHB00429,0.000987,0.006025,1
Metrorrhagia,SMHB00429,None,None,None
Pain Radiating,SMHB00429,None,None,None
Crushing Pain,SMHB00429,None,None,None
Posterior Compartment Low Back Pain,SMHB00429,None,None,None
Atrophy,SMHB00429,None,None,None
Azospermia,SMHB00429,None,None,None
Hyperostosis,SMHB00429,0.013802,0.040951,1
Bilateral Knee Joint Pain,SMHB00429,0.03417,0.062682,1
Chronic Lumbago,SMHB00429,0.006923,0.027968,1
Right Flank Pain,SMHB00433,None,None,None
Goiter,SMHB00433,0.014712,0.042343,1
Angina Symptoms,SMHB00433,0.014712,0.042343,1
Vertebrogenic Pain Syndrome,SMHB00433,5.70E-05,0.000593,1
Flank Pain,SMHB00433,None,None,None
Edema,SMHB00433,None,None,None
Palpitation(S),SMHB00433,None,None,None
Pneumatosis,SMHB00433,0.014712,0.042343,1
Respiratory Abnormality,SMHB00433,None,None,None
Back Pain Without Radiation Nos,SMHB00433,5.70E-05,0.000593,1
Back Pain With Radiation,SMHB00433,5.70E-05,0.000593,1
Orofacial Oedema,SMHB00433,0.014712,0.042343,1
Respiratory Disorder,SMHB00433,0.00021,0.00175,1
Musculoskeletal Pain,SMHB00433,None,None,None
Backache,SMHB00433,9.80E-05,0.000927,1
Left Flank Pain,SMHB00433,None,None,None
Edema Legs,SMHB00433,None,None,None
Lower Extremity Edema,SMHB00433,None,None,None
"Goiter, Euthyroid",SMHB00433,0.014712,0.042343,1
"Goiter, Euthyroid",SMHB00433,0.014712,0.042343,1
Lower Extremity Paresthesia,SMHB00433,1.00E-06,1.20E-05,0.014919
 Knee Joint Laxity,SMHB00433,0.014712,0.042343,1
Facial Nerve Motor Disorder,SMHB00431,None,None,None
Numbness,SMHB00431,None,None,None
 Physical Suffering,SMHB00431,None,None,None
Shock,SMHB00431,None,None,None
Vertebrogenic Pain Syndrome,SMHB00431,None,None,None
Toothache,SMHB00431,None,None,None
Facial Nerve Sensory Disorder,SMHB00431,None,None,None
Facial Neuritides,SMHB00431,None,None,None
Anorgasmia,SMHB00431,None,None,None
Hyperpyrexia,SMHB00431,None,None,None
Facial Myokymia,SMHB00431,None,None,None
Pain,SMHB00431,None,None,None
